Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:01HcvUGKvU9Czl4z3A4sQI,"Deep In Abyss - Anime Intro Version","Deep In Abyss (Made In Abyss OST)","Miyu Tomita,Mariye Ise",2019-04-11,223710,48,false,1rm8a4ytboch21x75yu5jotkz,2022-09-29T12:52:42Z,"anime","Fermanferma",0.595,0.849,6,-4.073,0,0.0338,0.0127,0.00000471,0.36,0.57,134.976,4
spotify:track:6yLpHWOoiT3lWPnZIXk1la,"THE SHAPE OF","OPENING THEME FROM TV SERIES MADE IN ABYSS ”THE GOLDEN CITY OF THE SCORCHING SUN” THE SHAPE OF","安月名莉子",2022-08-24,212866,40,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:14:04Z,"anime","KADOKAWA",0.617,0.837,9,-5.024,1,0.0466,0.229,0,0.339,0.673,124.018,4
spotify:track:3ii6HM45Hip0OVguE8Nxwu,"ENDLESS EMBRACE","ENDING THEME FROM TV SERIES ”MADE IN ABYSS: THE GOLDEN CITY OF THE SCORCHING SUN” ENDLESS EMBRACE","MYTH & ROID",2022-08-24,297145,40,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:15:48Z,"anime,j-rock,j-pop","KADOKAWA",0.504,0.796,11,-6.721,0,0.0461,0.0645,0.00000251,0.349,0.369,97.99,4
spotify:track:4MTgIH5OZQHAbdBWgbKSAb,"MUKANJYO","MUKANJYO","Survive Said The Prophet",2019-08-02,192400,62,false,1rm8a4ytboch21x75yu5jotkz,2023-01-24T20:37:43Z,"anime,j-rock","Sony Music Labels Inc.",0.468,0.961,7,-4.082,1,0.114,0.00364,0,0.226,0.31,94.926,4
spotify:track:22LRgvP6LBtmN5SqGrK3O7,"Drown","eyes","milet",2020-06-03,211786,0,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:15:20Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.437,0.61,9,-4.212,0,0.0329,0.0102,0.000132,0.396,0.351,179.921,4
spotify:track:1KE1qvMBq4jiN0lTw1Wyx2,"Dark Crow","Dark Crow","MAN WITH A MISSION",2019-10-13,278186,0,false,1rm8a4ytboch21x75yu5jotkz,2023-01-24T20:38:28Z,"anime,j-rock,j-pop","NITRON concepts",0.537,0.944,7,-4.406,1,0.0987,0.00634,0,0.0233,0.36,148.015,4
spotify:track:1HyKEziXzDtvnlg3dTLos2,"Torches","Torches","Aimer",2019-08-14,292533,0,false,1rm8a4ytboch21x75yu5jotkz,2023-01-24T20:39:55Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.52,0.675,0,-6.625,1,0.0283,0.464,0,0.138,0.31,82.008,4
spotify:track:1kPoNSnxGFq5UZbGyNymsK,"River","River","Anonymouz",2023-01-17,197997,51,false,1rm8a4ytboch21x75yu5jotkz,2023-01-24T20:37:33Z,"anime","Sony Music Labels Inc.",0.485,0.778,7,-3.359,1,0.0338,0.035,0,0.32,0.469,88.053,4
spotify:track:5OCVWpORIRjRU12dHocyDa,"シリウス","AUBE","Eir Aoi",2014-01-29,264360,44,false,1rm8a4ytboch21x75yu5jotkz,2024-10-19T20:34:21Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.407,0.975,1,-2.449,0,0.0788,0.00893,0,0.219,0.785,175.917,4
spotify:track:0oCP1Vu9LGVP88atKzOswC,"ambiguous","Linkage Ring","GARNiDELiA",2015-01-21,272480,47,false,1rm8a4ytboch21x75yu5jotkz,2024-10-19T20:36:10Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.441,0.962,0,-2.299,1,0.108,0.142,0.000103,0.317,0.592,178.201,4
spotify:track:1FvZeK3MgmGldxeYDvzanR,"Before my body is dry","キルラキル コンプリートサウンドトラック","Sawano Hiroyuki",2013,248266,50,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:16:33Z,"anime,soundtrack","Aniplex Inc.",0.398,0.712,3,-6.378,0,0.0767,0.0104,0.000091,0.0667,0.382,119.277,4
spotify:track:4Oh78uRF7wt8xjbsuzHQ06,"Blumenkranz (From Kill la Kill)","Blumenkranz (From Kill la Kill)","FalKKonE,Rena",2021-01-01,259467,24,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:17:12Z,"symphonic metal,anime","FalKKonE",0.386,0.958,0,-2.602,0,0.053,0.00245,0.894,0.166,0.256,160.093,4
spotify:track:1CpYTi0SQ3hsyxkGUxzj2f,"ideal white","Ideal White","Mashiro Ayano",2015-04-01,257173,0,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:18:03Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.413,0.934,1,-2.508,1,0.106,0.0224,0,0.355,0.439,179.934,4
spotify:track:4PR27vtUZsoiaUlQ6NNYyW,"Brave Shine","Best Selection Noir","Aimer",2017,231506,0,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:18:07Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.278,0.909,8,-3.651,1,0.125,0.000688,0.000218,0.217,0.459,113.967,5
spotify:track:4MR5DY9yrnxX9MWIUY5VvO,"oath sign","LiSA Best (Way)","LiSA",2018-05-09,249186,0,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:18:10Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.505,0.932,6,-1.429,0,0.0565,0.0271,0,0.365,0.482,152.064,4
spotify:track:6KQRnYGlZtZphzDp8SlZXw,"to the beginning","Kalafina All Time Best 2008-2018","Kalafina",2018-11-09,257560,0,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:18:28Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.348,0.811,2,-5.199,1,0.0599,0.0816,0.0000805,0.0579,0.445,153.069,4
spotify:track:6X9m9JRk2ypGusClUBraII,"楽園","楽園","Fujifabric",2021-01-29,225333,52,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:19:41Z,"j-rock,anime,j-pop","Sony Music Labels Inc.",0.561,0.822,2,-5.078,1,0.0848,0.00469,0.00000271,0.092,0.431,97.954,4
spotify:track:24PaqdVWQBvwnJmbRsvV5a,"ワスレガタキ","ワスレガタキ","Huwie Ishizaki",2023-04-20,177864,46,false,1rm8a4ytboch21x75yu5jotkz,2023-04-27T18:55:50Z,"anime,j-pop","Sony Music Labels Inc.",0.548,0.937,7,-3.919,1,0.104,0.000834,0,0.0774,0.813,124.993,4
spotify:track:3n2YaCic0C3gjCgkTkwfOz,"Where Do We Go?","Where Do We Go?","OKAMOTO'S",2023-04-28,202293,44,false,1rm8a4ytboch21x75yu5jotkz,2023-05-07T15:20:45Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.602,0.734,9,-3.631,1,0.0443,0.225,0,0.0829,0.547,94.003,4
spotify:track:38kcwx5znepLWCIBID0Bwm,"Kyouran Hey Kids!!","FIXION","THE ORAL CIGARETTES",2016-01-05,250973,69,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:20:14Z,"j-rock,anime,j-pop","antwork",0.526,0.981,8,-1.82,1,0.111,0.00318,0.00161,0.187,0.781,142.016,4
spotify:track:3xVCQGla5LLhrwqNS2FcHo,"火炎","Fire (Full Edition)","QUEEN BEE",2019-01-30,215973,0,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:20:40Z,"anime,j-rock,j-pop","NITRON concepts",0.521,0.933,11,-4.874,0,0.179,0.034,0.0000207,0.33,0.607,169.842,4
spotify:track:64yajM6CxtLghmgB53VeXT,"インフェルノ","インフェルノ","Mrs. GREEN APPLE",2019-07-18,212546,69,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:22:29Z,"j-pop,anime,j-rock","Universal Music LLC",0.529,0.93,4,-1.538,1,0.0588,0.00955,0,0.465,0.694,92.463,4
spotify:track:2wJJNgD6GrKoQ435VxTRv6,"MAYDAY (feat. Ryo from Crystal Lake)","THE SIDE EFFECTS","coldrain,Ryo",2019-08-28,227011,59,true,1rm8a4ytboch21x75yu5jotkz,2024-10-19T20:51:56Z,"j-rock,metalcore,anime,hyperpop","WM Japan",0.522,0.97,10,-4.576,0,0.209,0.0000553,0,0.246,0.488,121.054,4
spotify:track:3NEuSQZbVmfQwRuDKol40Y,"SPARK-AGAIN","SPARK-AGAIN","Aimer",2020-09-09,244160,53,false,1rm8a4ytboch21x75yu5jotkz,2024-10-19T20:52:59Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.399,0.946,11,-3.397,0,0.15,0.000913,0.00462,0.356,0.502,90.068,4
spotify:track:3YblgwBrb747gUzuh2CgYF,"Torch of Liberty","Torch of Liberty","KANA-BOON",2020-10-17,185166,50,false,1rm8a4ytboch21x75yu5jotkz,2022-10-21T17:45:15Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.447,0.934,5,-1.998,1,0.066,0.00422,0,0.337,0.356,94.983,4
spotify:track:1dGF5ymTyBB2ZmOypkeU1F,"veil","porte","須田景凪",2019-08-21,209636,59,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:14:46Z,"anime,j-pop,j-rock","WM Japan",0.559,0.873,0,-4.401,0,0.0543,0.0281,0,0.185,0.797,150.055,4
spotify:track:4OQq1bcP12GQQXJNupxqfR,"again","HOLIDAYS IN THE SUN","YUI",2010-07-14,254346,67,false,1rm8a4ytboch21x75yu5jotkz,2022-09-10T14:22:53Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.595,0.83,4,-3.836,0,0.0379,0.046,0,0.361,0.494,139.922,4
